Date,Price
 9-Mar-22 ,61
 10-Mar-22 ,63
 11-Mar-22 ,62
 14-Mar-22 ,62.8
 15-Mar-22 ,60.9
 16-Mar-22 ,60.5
 18-Mar-22 ,61
 21-Mar-22 ,61.3
 22-Mar-22 ,60.9
 23-Mar-22 ,62.8
 24-Mar-22 ,60.2
 25-Mar-22 ,60.2
 28-Mar-22 ,60
 29-Mar-22 ,58.1
 30-Mar-22 ,56
 31-Mar-22 ,56
 1-Apr-22 ,52
 4-Apr-22 ,52
 5-Apr-22 ,56
 6-Apr-22 ,55
 7-Apr-22 ,52
 8-Apr-22 ,53
 26-Apr-22 ,48
 27-Apr-22 ,48
 28-Apr-22 ,46.9
 29-Apr-22 ,47.5
 4-May-22 ,47
 5-May-22 ,46
 6-May-22 ,45
 9-May-22 ,43.8
 12-May-22 ,45
 13-May-22 ,45.9
 17-May-22 ,44
 18-May-22 ,44
 19-May-22 ,42.9
 20-May-22 ,42
 23-May-22 ,41.5
 24-May-22 ,40.1
 25-May-22 ,39
 26-May-22 ,39.7
 27-May-22 ,38
 30-May-22 ,37
 31-May-22 ,35.6
 1-Jun-22 ,37.5
